filepath,instrument_label,context_label,sample_rate,duration_sec,is_augmented,original_file
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-D4_S1.mp3,Bali-ing,NEITHER,44100,1.4106122448979592,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-D4_S1.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-G#3_S1.mp3,Bali-ing,NEITHER,44100,2.1420408163265305,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-G#3_S1.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-G#3_S2.mp3,Bali-ing,NEITHER,44100,1.5412244897959184,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-G#3_S2.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-B5_S1.mp3,Bali-ing,NEITHER,44100,1.3583673469387756,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-B5_S1.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-B5_S2.mp3,Bali-ing,NEITHER,44100,1.3583673469387756,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-B5_S2.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-G5_S1.mp3,Bali-ing,NEITHER,44100,1.6457142857142857,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-G5_S1.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-G5_S2.mp3,Bali-ing,NEITHER,44100,1.4106122448979592,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-G5_S2.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N11-A5_S1.mp3,Bali-ing,NEITHER,44100,1.6718367346938776,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N11-A5_S1.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N12-A#5_S1.mp3,Bali-ing,NEITHER,44100,1.7763265306122449,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N12-A#5_S1.mp3
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N2-B3_S1.mp3,Bali-ing,NEITHER,44100,1.959183673469388,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N2-B3_S1.mp3
