filepath,instrument_label,context_label,sample_rate,duration_sec,is_augmented,original_file
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_ENSEMBLE.mp3,Ab-bew,ENSEMBLE,44100,64.65306122448979,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_ENSEMBLE.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S1.mp3,Ab-bew,NEITHER,44100,1.123265306122449,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S1.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S2.mp3,Ab-bew,NEITHER,44100,0.2873469387755102,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S2.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S3.mp3,Ab-bew,NEITHER,44100,0.2873469387755102,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S3.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S4.mp3,Ab-bew,NEITHER,44100,0.9142857142857144,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S4.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S5.mp3,Ab-bew,NEITHER,44100,0.313469387755102,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S5.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S1.mp3,Ab-bew,NEITHER,44100,0.313469387755102,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S1.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S2.mp3,Ab-bew,NEITHER,44100,0.2873469387755102,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S2.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S3.mp3,Ab-bew,NEITHER,44100,0.809795918367347,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S3.mp3
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S4.mp3,Ab-bew,NEITHER,44100,0.3918367346938775,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S4.mp3
