filepath,filetype,sample_rate,duration_sec,instrument_label
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N1_S3.mp3,.mp3,44100,0.5224489795918368,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N1_S4.mp3,.mp3,44100,0.5485714285714286,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N1_S5.mp3,.mp3,44100,0.47020408163265304,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N2_S1.mp3,.mp3,44100,0.9142857142857143,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N2_S3.mp3,.mp3,44100,0.8359183673469388,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N2_S4.mp3,.mp3,44100,0.7836734693877551,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N3_S2.mp3,.mp3,44100,0.7053061224489796,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N3_S4.mp3,.mp3,44100,0.6530612244897959,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N3_S5.mp3,.mp3,44100,0.3395918367346939,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N4_S2.mp3,.mp3,44100,0.5485714285714286,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N4_S3.mp3,.mp3,44100,0.5746938775510204,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_N4_S4.mp3,.mp3,44100,0.6530612244897959,Uritang
input\full\Uritang_audios\Uritang_audios\APY_ISG_Uritang_Samplepiece.mp3,.mp3,44100,30.772244897959183,Uritang
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_MODAL.mp3,.mp3,44100,69.69469387755102,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N1_P1_S1.mp3,.mp3,44100,1.253877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N1_P1_S2.mp3,.mp3,44100,1.2277551020408164,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N1_P1_S3.mp3,.mp3,44100,1.1493877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N1_P1_S4.mp3,.mp3,44100,1.0710204081632653,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N1_P1_S5.mp3,.mp3,44100,0.9404081632653061,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N1_P1_S6.mp3,.mp3,44100,1.1493877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N2_P1_S1.mp3,.mp3,44100,1.1755102040816328,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N2_P1_S2.mp3,.mp3,44100,1.2277551020408164,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N2_P1_S3.mp3,.mp3,44100,1.0971428571428572,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N2_P1_S4.mp3,.mp3,44100,1.1493877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N2_P1_S5.mp3,.mp3,44100,1.2277551020408164,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N2_P1_S6.mp3,.mp3,44100,1.2277551020408164,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N3_P1_S1.mp3,.mp3,44100,1.4106122448979592,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N3_P1_S2.mp3,.mp3,44100,1.253877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N3_P1_S3.mp3,.mp3,44100,1.3061224489795917,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N4_P1_S1.mp3,.mp3,44100,1.1755102040816328,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N4_P1_S2.mp3,.mp3,44100,1.3322448979591837,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N4_P1_S3.mp3,.mp3,44100,1.0971428571428572,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N4_P1_S4.mp3,.mp3,44100,1.1493877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N4_P1_S5.mp3,.mp3,44100,1.0971428571428572,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N4_P1_S6.mp3,.mp3,44100,1.0971428571428572,Tumpong
