filepath,instrument_label,context_label,is_augmented,original_file,sample_rate,meta_sample_rate,duration_sec,meta_duration,rms_energy,zcr,spectral_centroid,spectral_bandwidth,rolloff,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-D4_S1.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-D4_S1.mp3,44100,44100,1.4106122448979592,1.4106122448979592,0.021870274,0.03128602074795082,963.6651005546695,987.6195036543751,1783.7258260758197,0.018142978,-703.3358,102.39584,72.679085,38.93178,13.489128,-0.03831232,-6.8029337,-14.186704,-24.500748,-32.97471,-32.431164,-20.430288,-2.706742
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-G#3_S1.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-G#3_S1.mp3,44100,44100,2.1420408163265305,2.1420408163265305,0.011382479,0.036444256756756756,1152.9190842661694,1057.5751707073205,1820.894214527027,0.06654727,-766.8078,96.78332,85.27853,68.44387,48.830353,28.841242,10.459591,-4.858663,-16.28323,-23.61624,-27.122065,-27.299969,-24.773542
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-G#3_S2.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N1-G#3_S2.mp3,44100,44100,1.5412244897959184,1.5412244897959184,0.009657532,0.0504398202537594,1755.233996022389,1443.6934695584062,2868.6112253289475,0.119855106,-781.5982,85.77614,76.35276,62.066303,44.758724,26.511597,9.301446,-5.2820134,-16.207829,-23.053963,-25.95403,-25.476244,-22.472408
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-B5_S1.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-B5_S1.mp3,44100,44100,1.3583673469387756,1.3583673469387756,0.27974182,0.05275920286016949,1706.4395896160897,1892.3505925834015,2413.7260824947034,0.016677767,-379.41537,61.9013,-39.54189,-30.665583,-65.97799,-49.38625,-26.994167,-1.0649283,16.438166,34.081005,21.437075,-11.824868,-30.977531
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-B5_S2.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-B5_S2.mp3,44100,44100,1.3583673469387756,1.3583673469387756,0.2514455,0.05425715042372881,1858.197153661589,2052.3992922684743,3126.146633342161,0.018296016,-404.03506,55.36022,-34.46746,-27.270683,-59.813427,-45.73321,-22.983078,-0.90861934,18.570923,32.166733,17.796747,-8.396843,-26.982187
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-G5_S1.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-G5_S1.mp3,44100,44100,1.6457142857142857,1.6457142857142857,0.21495472,0.04185464348591549,1063.7861503902463,792.3767803973208,1177.6539117517605,0.009288043,-459.10388,64.43461,-21.290442,-29.634546,-15.308782,-40.20484,-55.73565,-25.871267,7.2945514,18.427843,28.571041,39.62184,29.308058
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-G5_S2.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N10-G5_S2.mp3,44100,44100,1.4106122448979592,1.4106122448979592,0.21985519,0.0484038806352459,1291.0671764183362,1025.7358669773403,1778.4307761270493,0.016634481,-454.06775,66.81619,-27.855574,-32.181644,-13.644571,-41.939053,-59.837505,-27.801992,8.362769,20.995201,30.161585,39.27424,28.450064
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N11-A5_S1.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N11-A5_S1.mp3,44100,44100,1.6718367346938776,1.6718367346938776,0.23267801,0.048346578663793105,1334.095846634159,881.1001806368442,1501.2355199353449,0.024650548,-433.08612,59.77601,-56.963753,-34.400616,-11.439202,-47.8189,-45.169037,-3.8129592,26.94148,48.97256,42.29555,-1.3061763,-31.903624
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N12-A#5_S1.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N12-A#5_S1.mp3,44100,44100,1.7763265306122449,1.7763265306122449,0.18780144,0.04901202313311688,1544.3919860055091,1051.3111684702533,2222.5341796875,0.041568983,-431.0557,55.994846,-84.454094,-35.118137,-7.010097,-39.233738,-33.556206,-7.9884825,22.851051,47.078976,33.092068,-10.111747,-38.618668
input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N2-B3_S1.mp3,Bali-ing,NEITHER,False,input\full\Bali-ing_audios\Bali-ing_audios\Isg_Bali-ing_158_P1_N2-B3_S1.mp3,44100,44100,1.9591836734693877,1.959183673469388,0.025738824,0.03359606139053255,877.6296794997093,962.7257591232126,1418.1334365754437,0.032511204,-682.5291,93.48242,80.01111,61.384556,40.26807,18.528145,-1.5855488,-17.32724,-26.729683,-29.757055,-28.11294,-23.859587,-18.31601
