filepath,instrument_label,context_label,is_augmented,original_file,sample_rate,meta_sample_rate,duration_sec,meta_duration,rms_energy,zcr,spectral_centroid,spectral_bandwidth,rolloff,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_ENSEMBLE.mp3,Ab-bew,ENSEMBLE,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_ENSEMBLE.mp3,44100,44100,64.65306122448979,64.65306122448979,0.16482066,0.19972518068773568,5420.589395225403,3739.282707576415,9664.8857129029,0.004564087,-91.37293,38.11798,-118.2104,8.573145,-69.51268,4.442664,-56.530598,-8.46899,-39.962215,-7.3388906,-23.591326,3.9665558,-7.706406
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S1.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S1.mp3,44100,44100,1.123265306122449,1.123265306122449,0.024528772,0.12513591333762886,3868.9538265941196,3394.7966484794233,7085.533787048969,0.0019262981,-376.71115,73.480194,-94.852104,-17.926153,-57.311337,-22.57365,-44.562187,-24.778149,-34.793903,-16.425816,-19.199139,-2.235214,-3.215138
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S2.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S2.mp3,44100,44100,0.2873469387755102,0.2873469387755102,0.084632866,0.2239453125,5939.663745464097,3733.7033200400583,10099.072265625,0.010474809,-197.5826,22.606396,-132.93216,8.453201,-89.618256,1.758952,-65.93946,-12.3765,-45.652367,-6.5802574,-20.554184,7.310105,-10.412005
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S3.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S3.mp3,44100,44100,0.2873469387755102,0.2873469387755102,0.06774132,0.20318359375,5571.882346808201,3821.0133152349927,9928.529296875,0.011271272,-218.04716,26.683365,-135.10664,-5.86149,-84.44003,1.1119288,-64.573265,-16.767828,-44.455322,-3.834105,-24.507053,11.342108,-8.733694
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S4.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S4.mp3,44100,44100,0.9142857142857143,0.9142857142857144,0.02374161,0.13584107990506328,4120.558922797913,3364.6628054581765,7734.781076938291,0.0015495527,-356.149,63.202156,-111.75707,-16.046595,-67.62299,-19.333677,-55.65978,-23.669556,-31.796974,-12.2343855,-17.930815,2.8310726,-2.4531834
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S5.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N1_S5.mp3,44100,44100,0.313469387755102,0.313469387755102,0.05563022,0.17844935825892858,5151.327332063782,3596.2121939246604,9335.41259765625,0.0064748703,-242.3584,38.751522,-134.18805,2.077485,-73.12669,-2.1729228,-70.18855,-16.12782,-38.45053,-3.301653,-18.490046,5.980251,-7.0473433
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S1.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S1.mp3,44100,44100,0.313469387755102,0.313469387755102,0.045487452,0.21547154017857142,5433.344600254188,3527.189587974001,9215.44189453125,0.0036589226,-285.82452,33.467297,-123.68383,13.906897,-77.29332,5.7113953,-57.47486,-11.761297,-38.230587,-8.501717,-29.94153,-3.39785,-4.3787665
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S2.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S2.mp3,44100,44100,0.2873469387755102,0.2873469387755102,0.0473132,0.22904296875,5731.733484878882,3614.9683176675144,9823.447265625,0.006620757,-274.26044,18.861341,-131.17085,8.857367,-81.30829,1.9603279,-60.009277,-8.9167795,-42.336166,-4.746869,-24.987402,3.1557772,-2.0374227
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S3.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S3.mp3,44100,44100,0.809795918367347,0.809795918367347,0.027159765,0.16688755580357142,4481.430685743643,3365.002728955128,7882.0751953125,0.0031405555,-372.57327,59.138226,-110.83636,2.4996667,-64.69472,-17.582502,-50.738964,-22.942741,-36.28711,-10.909861,-23.749043,-5.298924,-1.8890272
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S4.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N2_S4.mp3,44100,44100,0.39183673469387753,0.3918367346938775,0.047993105,0.21510225183823528,5474.811337390111,3574.740250291977,9522.742417279413,0.0048730974,-264.83752,32.05779,-123.08337,7.61643,-79.047554,-1.2510842,-54.595413,-8.899162,-36.695045,-9.695526,-21.18304,-3.138373,-6.694467
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S1.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S1.mp3,44100,44100,0.8359183673469388,0.8359183673469388,0.020294795,0.11956201840753425,3816.197175051744,3322.5086530721023,6952.274855522261,0.002174428,-379.90103,82.86981,-89.93091,-1.3305554,-52.56116,-18.1587,-45.9023,-19.08239,-37.92165,-22.119772,-30.087402,-10.397404,-10.673941
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S2.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S2.mp3,44100,44100,0.7053061224489796,0.7053061224489796,0.024825616,0.14510758196721313,4322.276790274067,3409.5355175924824,7883.6233670594265,0.0034221034,-350.16174,72.41894,-98.80062,4.544658,-60.3539,-10.853755,-45.40067,-14.386455,-36.625553,-20.356787,-29.319817,-10.920178,-14.18461
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S3.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S3.mp3,44100,44100,0.5485714285714286,0.5485714285714286,0.03726032,0.1629638671875,4658.1822707154915,3408.7115170739803,8436.080932617188,0.004086168,-298.1785,61.98759,-110.46781,12.040334,-64.040184,-4.2888203,-45.865673,-12.62262,-37.226,-20.201626,-32.95899,-12.99944,-14.038884
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S4.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S4.mp3,44100,44100,0.5224489795918368,0.5224489795918368,0.031508844,0.15792713994565216,4540.063431626591,3380.653587696282,8280.452827785326,0.004016129,-309.71497,62.646454,-111.2893,8.315256,-59.612766,-3.2797985,-45.07738,-11.927836,-37.266483,-20.567411,-29.483791,-14.713178,-14.976356
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S5.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N3_S5.mp3,44100,44100,0.5746938775510204,0.5746938775510204,0.031838704,0.160380859375,4621.404824994091,3381.0541965273546,8294.58984375,0.0046001924,-319.71,60.1337,-113.98766,8.918796,-64.119995,-5.1632,-45.778343,-12.829146,-39.856266,-22.193996,-32.847065,-10.182389,-12.949721
input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N4_S1.mp3,Ab-bew,NEITHER,False,input\PAMANA_Dataset\Luzon\Ab-bew_audios\Ab-bew_audios\BK_BNTK_Abbew_N4_S1.mp3,44100,44100,0.4440816326530612,0.4440816326530612,0.019872747,0.18641075721153846,4962.723783158499,3452.9936217688723,8819.227013221154,0.005562479,-353.74307,46.88391,-121.418396,10.400661,-73.54729,-8.376401,-57.42587,-11.383591,-43.56891,-15.92969,-23.429789,1.5426309,-7.2560487
